domain,title,url
joannenova.com.au,,http://joannenova.com.au/2020/06/imagine-that-coronavirus-flew-in-to-uk-at-least-1356-times/
joannenova.com.au,,http://joannenova.com.au/2020/05/coronavirus-pushed-climate-change-off-the-nz-budget/
joannenova.com.au,,http://joannenova.com.au/2020/05/tasmania-may-open-borders-to-safe-states-not-sick-ones/
joannenova.com.au,,http://joannenova.com.au/2020/05/its-just-the-flu-china-is-locking-down-100-million-people-after-34-new-cases-with-covid-19/
joannenova.com.au,,http://joannenova.com.au/2020/05/israel-costa-rica-aim-to-be-new-quarantine-free-travel-bubble-hubs-from-aust-nz-to-europe/
joannenova.com.au,,http://joannenova.com.au/2020/06/ivermectin-kills-headlice-and-also-coronavirus-in-a-few-early-trials/
joannenova.com.au,,http://joannenova.com.au/2020/05/victorian-lockdown-worked-it-stopped-community-transmission-of-covid/
joannenova.com.au,,http://joannenova.com.au/2020/05/when-more-borders-means-more-freedom/
joannenova.com.au,,http://joannenova.com.au/2020/05/hydroxychloroquine-lancet-study-of-96000-covid-patients-ignores-zinc-wasnt-randomized-has-12-death-rate/
joannenova.com.au,,http://joannenova.com.au/2020/06/sweden-is-trapped-in-an-interminable-deadly-half-lockdown/
joannenova.com.au,,http://joannenova.com.au/2020/06/huge-lancet-study-was-used-to-stop-hcq-trials-has-been-retracted/
joannenova.com.au,,http://joannenova.com.au/2020/06/coronavirus-causes-acute-kidney-damage-in-one-third-of-hospital-cases/
joannenova.com.au,,http://joannenova.com.au/2020/06/humans-do-ultimate-paris-lockdown-co2-hits-record-high-anyway/
joannenova.com.au,,http://joannenova.com.au/2020/02/coronavirus-more-infectious-but-we-hope-less-deadly-without-closed-borders-covid-19-uncontainable/
joannenova.com.au,,http://joannenova.com.au/2020/03/every-day-matters-see-which-day-each-us-state-loses-the-chance-to-protect-thousands/
joannenova.com.au,,http://joannenova.com.au/2020/02/let-the-coronavirus-disruption-begin-partial-post-hoc-reactive-quarantine-holds-seven-planes-at-london-airport-seriously/
joannenova.com.au,,http://joannenova.com.au/2020/03/50-specialist-doctors-send-shocking-warning-hospitals-will-be-swamped-3-x-capacity/
joannenova.com.au,,http://joannenova.com.au/2020/04/coronavirus-reality-check-means-australian-green-tape-is-on-the-chopping-block/
joannenova.com.au,,http://joannenova.com.au/2020/04/perhaps-solve-the-other-pandemic-vitamin-d-deficiency-to-help-beat-coronavirus/
joannenova.com.au,,http://joannenova.com.au/2020/05/mysterious-amazingly-low-oxygen-levels-how-pulse-oximeter-gives-the-first-warning-of-coronavirus/
joannenova.com.au,,http://joannenova.com.au/2020/04/new-zealand-win-community-spread-of-coronavirus-eliminated-lockdown-eases-a-bit-tonight/
joannenova.com.au,,http://joannenova.com.au/2020/05/two-californians-doctors-say-the-mortality-rate-is-like-the-flu-but-it-was-sampling-bias-instead/
joannenova.com.au,,http://joannenova.com.au/2020/04/the-world-watches-australia-and-nz-tracking-to-zero-can-we-extinguish-coronavirus/
joannenova.com.au,,http://joannenova.com.au/2020/04/death-tolls-could-be-60-higher-than-official-numbers-all-cause-mortality-is-at-record-highs/
joannenova.com.au,,http://joannenova.com.au/2020/05/indonesian-study-low-vitamin-d-patients-ten-times-more-likely-to-die-of-coronavirus/
joannenova.com.au,,http://joannenova.com.au/2020/05/the-stroke-virus-covid-causes-hundreds-of-microclots-throughout-the-lungs-and-everywhere-else/
joannenova.com.au,,http://joannenova.com.au/2020/05/beware-the-famous-flu-death-tally-is-highly-adjusted-and-coronavirus-is-still-10-times-worse/
joannenova.com.au,,http://joannenova.com.au/2020/05/like-sabotage-the-uk-has-locked-down-its-people-but-still-has-open-borders/
joannenova.com.au,,http://joannenova.com.au/2020/05/large-antibody-study-on-us-baseball-teams-finds-only-0-7-infection-rate/
joannenova.com.au,,http://joannenova.com.au/2020/05/second-wave-starting-in-iran/
joannenova.com.au,,http://joannenova.com.au/2020/02/coronavirus-now-they-get-it/
joannenova.com.au,,http://joannenova.com.au/2020/05/lockdowns-work-influenza-cases-are-90-down-across-17-countries/
joannenova.com.au,,http://joannenova.com.au/2020/05/is-coronavirus-man-made-the-bat-virus-it-evolved-from-appears-to-be-faked/
joannenova.com.au,,http://joannenova.com.au/2020/05/the-mysterious-debilitating-coronavirus-convalescence/
joannenova.com.au,,http://joannenova.com.au/2020/03/governments-say-its-safe-but-planes-are-grounded-as-people-stay-home/
joannenova.com.au,,http://joannenova.com.au/2020/03/coronavirus-war-room-time-mortality-rate-1-3-and-the-experts-that-dont-add-up/
joannenova.com.au,,http://joannenova.com.au/2020/03/australia-joins-96-countries-in-banning-flights-from-south-korea/
joannenova.com.au,,http://joannenova.com.au/2020/03/more-viruses-imported-govt-says-ok-and-plans-for-faster-morgues/
joannenova.com.au,,http://joannenova.com.au/2020/03/dire-italy-just-three-weeks-from-3-patients-to-a-hospital-system-on-brink-of-collapse-12-need-intensive-care/
joannenova.com.au,,http://joannenova.com.au/2020/03/good-rumors-whole-us-set-to-go-into-two-week-quarantine-lockdown-bad-uk-recycles-old-flu-policy-to-come-up-with-very-stupid-plan/
joannenova.com.au,,http://joannenova.com.au/2020/03/doctors-in-west-australia-call-for-closure-of-state-borders/
joannenova.com.au,,http://joannenova.com.au/2020/03/australia-waited-to-boost-mask-production-til-now-greg-hunt-and-brendan-murphys-deadly-incompetance/
joannenova.com.au,,http://joannenova.com.au/2020/03/more-proof-that-viruses-dont-have-wings-update-slowmo-moves/
joannenova.com.au,,http://joannenova.com.au/2020/03/delay-death-countries-that-act-fast-reduce-the-fatality-rate-by-10x/
joannenova.com.au,,http://joannenova.com.au/2020/03/doctors-on-front-line-see-disaster-coming-feel-abandoned/
joannenova.com.au,,http://joannenova.com.au/2020/03/feb-27th-some-us-republicans-knew-what-was-coming-and-didnt-warn-the-people/
joannenova.com.au,,http://joannenova.com.au/2020/03/antiviral-drugs-antimalarials-and-anti-hiv-may-be-useful/
joannenova.com.au,,http://joannenova.com.au/2020/04/trump-threatens-funds-for-who-because-they-were-wrong-about-coronavirus/
joannenova.com.au,,http://joannenova.com.au/2020/03/crush-the-curve-italian-town-with-first-death-in-italy-stopped-the-virus/
joannenova.com.au,,http://joannenova.com.au/2020/04/coronavirus-nearly-800-people-under-the-age-of-50-have-died-in-the-us/
joannenova.com.au,,http://joannenova.com.au/2020/04/german-15-herd-immunity-study-wasnt-random-and-may-have-tested-for-the-common-cold/
joannenova.com.au,,http://joannenova.com.au/2020/04/urgent-new-medical-theory-on-coronavirus-hold-the-ventilators-stop-blood-clots-instead/
joannenova.com.au,,http://joannenova.com.au/2020/04/trump-stops-funds-to-the-who-because-it-only-has-one-major-job-and-it-failed/
joannenova.com.au,,http://joannenova.com.au/2020/04/crushing-the-curve-in-australia-unknown-source-covid-cases-trending-down/
joannenova.com.au,,http://joannenova.com.au/2020/04/bad-citizen-china-said-covid-19-was-preventable-and-curable-while-profiteering-medical-gear/
joannenova.com.au,,http://joannenova.com.au/2020/04/german-editor-scathing-demands-e149-billion-in-damages-for-chinas-greatest-export-coronavirus/
joannenova.com.au,,http://joannenova.com.au/2020/04/lockdown-is-not-a-plan-foisted-on-unwilling-masses-the-people-want-it/
joannenova.com.au,,http://joannenova.com.au/2020/04/viral-numerology-coronavirus-fades-after-6-to-8-weeks-due-to-magic-or-something/
joannenova.com.au,,http://joannenova.com.au/2020/04/the-first-synthetic-pandemic-man-who-discovered-hiv-says-coronavirus-is-man-made-ccp-destroyed-the-evidence/
joannenova.com.au,,http://joannenova.com.au/2020/04/californian-antibody-test-finds-only-1-5-of-self-selecting-group-in-highest-risk-county-actually-had-coronavirus/
joannenova.com.au,,http://joannenova.com.au/2020/03/trump-might-yet-pull-off-a-gamechanger-thanks-to-chloroquine/
joannenova.com.au,,http://joannenova.com.au/2020/04/time-to-lockdown-china-for-its-dishonesty/
joannenova.com.au,,http://joannenova.com.au/2020/03/korean-professor-surprised-western-people-dont-wear-masks-which-are-very-effective/
joannenova.com.au,,http://joannenova.com.au/2020/03/chinese-company-flew-80-tons-of-medical-masks-suits-to-china-in-feb/
joannenova.com.au,,http://joannenova.com.au/2020/03/doc-talks-about-his-holy-s-moment-horrible-lung-failure-even-in-young-patients/
joannenova.com.au,,http://joannenova.com.au/2020/03/dire-report-turned-into-fake-news-that-death-projections-have-been-downgraded/
joannenova.com.au,,http://joannenova.com.au/2020/04/its-not-just-lungs-coronavirus-can-affect-brains-may-increase-stroke-risk/
joannenova.com.au,,http://joannenova.com.au/2020/04/australias-very-low-death-rate-is-due-to-younger-patients-plenty-of-tests/
joannenova.com.au,,http://joannenova.com.au/2020/03/this-is-going-to-be-shorter-and-faster-than-people-think/
joannenova.com.au,,http://joannenova.com.au/2020/03/coronavirus-signs-of-peaks-in-the-west/
joannenova.com.au,,http://joannenova.com.au/2020/04/how-about-27-feet-of-social-distancing/
joannenova.com.au,,http://joannenova.com.au/2020/02/coronavirus-demographics-very-much-a-risk-for-older-people-and-the-strange-split-in-severe-case-rate/
joannenova.com.au,,http://joannenova.com.au/2020/04/coronavirus-treatment-antibodies-that-work-in-20-minutes-could-give-protection-for-8-weeks/
joannenova.com.au,,http://joannenova.com.au/2020/04/those-who-control-the-medicines-control-the-world/
joannenova.com.au,,http://joannenova.com.au/2020/02/coronavirus-and-so-it-spreads-lock-downs-in-italy-south-korea-riot-in-ukraine/
joannenova.com.au,,http://joannenova.com.au/2020/04/ancient-technology-wins-quarantine-and-isolation-still-work/
joannenova.com.au,,http://joannenova.com.au/2020/04/another-possible-cure-from-coronavirus-found-in-sheep-dip-invermectin/
joannenova.com.au,,http://joannenova.com.au/2020/02/iran-has-been-hiding-coronavirus-for-weeks-albania-closes-borders-but-830-still-buys-a-flight-to-melbourne/
joannenova.com.au,,http://joannenova.com.au/2020/02/coronavirus-australia-the-island-that-could-keep-the-virus-out-is-slowing-the-virus-by-flying-it-in/
joannenova.com.au,,http://joannenova.com.au/2020/06/desperate-signs-australian-companies-will-be-paid-to-use-less-electricity/
joannenova.com.au,,http://joannenova.com.au/2020/06/virus-eliminated-nz-is-free/
joannenova.com.au,,http://joannenova.com.au/2020/02/reckless-greed-our-universities-are-driving-coronavirus-to-thailand-and-australia-israel-has-banned-flights-to-thailand-are-we-nextnext/
